Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,Difficulty
scrub,5,875,6.77,614.65,-0.5,169.99,34.0,1.0,0.31135136
scrubbed,8,282,5.64,694.68,-0.24,222.82,34.0,1.0,0.5793154
scrubber,8,186,5.23,679.63,-0.05,177.8,30.0,0.94,0.60915726
scrubbing,9,398,5.99,701.36,-0.34,328.68,33.0,1.0,0.6373858
scrubby,7,30,3.4,709.66,-0.35,302.68,32.0,0.97,0.51012284
scruff,6,140,4.94,680.9,-0.16,159.9,30.0,0.91,0.45844632
scruffy,7,210,5.35,815.7,0.04,407.76,30.0,0.86,0.58181906
scrumptious,11,64,4.16,854.25,0.45,304.52,28.0,0.88,0.7183675
scrunch,7,27,3.3,821.26,-0.08,332.48,23.0,0.72,0.52411085
scruple,7,28,3.33,918.8,0.25,414.63,25.0,0.76,0.54866135
scrupulosity,12,0,0.0,979.32,0.81,363.88,19.0,0.76,0.8182876
scrupulous,10,257,5.55,866.19,0.31,344.41,26.0,0.79,0.75814295
scrupulously,12,172,5.15,943.54,0.79,355.21,26.0,0.79,0.84245604
scrutinize,10,183,5.21,851.03,0.27,321.27,31.0,0.97,0.7666892
scrutinized,11,275,5.62,838.43,0.17,366.42,28.0,0.8,0.7352698
scrutinizing,12,85,4.44,841.13,0.09,294.98,30.0,0.91,0.7714896
scrutiny,8,2236,7.71,886.03,0.08,373.33,29.0,0.91,0.559117
scuba,5,2174,7.68,707.7,-0.3,252.74,30.0,0.91,0.35278097
scud,4,356,5.87,858.82,0.22,384.48,17.0,0.52,0.25935185
scudding,8,7,1.95,911.18,0.31,379.31,11.0,0.32,0.54020315
scuff,5,325,5.78,813.46,-0.01,324.93,28.0,0.88,0.40833965
scuffle,7,128,4.85,734.8,-0.2,233.69,30.0,0.88,0.6695308
scuffmark,9,0,0.0,934.42,0.65,223.84,24.0,0.71,0.767143
scull,5,81,4.39,673.04,-0.35,270.03,24.0,0.73,0.31472173
scullery,8,21,3.04,919.81,0.42,258.9,21.0,0.62,0.6485729
scullion,8,21,3.04,823.0,0.46,296.46,7.0,0.21,0.57192177
sculpt,6,171,5.14,702.08,-0.12,204.05,25.0,0.76,0.40759394
sculpted,8,344,5.84,726.73,-0.17,260.45,33.0,1.0,0.5102374
sculptor,8,624,6.44,719.16,-0.23,201.36,32.0,1.0,0.55973566
sculptors,9,123,4.81,731.82,-0.23,271.64,34.0,1.0,0.606039
sculptural,10,43,3.76,1025.31,0.87,408.22,29.0,0.94,0.61244833
sculpture,9,974,6.88,633.74,-0.54,237.38,31.0,1.0,0.5983511
sculptured,10,109,4.69,783.97,-0.09,436.36,32.0,0.97,0.60279775
sculptures,10,346,5.85,707.79,-0.13,199.92,34.0,0.97,0.6143987
scum,4,3108,8.04,755.61,-0.27,468.67,31.0,0.97,0.27382213
scummy,6,161,5.08,827.82,0.17,264.79,28.0,0.8,0.4904527
scurried,8,131,4.88,827.54,0.09,253.65,28.0,0.82,0.54743576
scurry,6,132,4.88,654.22,-0.27,127.5,27.0,0.79,0.43701753
scurvy,6,87,4.47,853.91,0.19,285.9,23.0,0.7,0.42260236
scuttle,7,186,5.23,704.14,-0.22,159.68,21.0,0.7,0.6181807
scuttled,8,84,4.43,912.62,0.31,469.16,21.0,0.64,0.6483906
scuttling,9,58,4.06,868.81,0.18,330.52,21.0,0.64,0.7252061
scythe,6,213,5.36,739.47,0.02,170.8,19.0,0.54,0.3260284
